Thu Feb  4 04:29:07 2021
rule_repository_top_k.size(): 30
(diameter,viscera,rings=10,)=>height | whole_supp: 1268 | whole_vio: 36 | whole_conf: 0.971609 | Asupp: 2
(height,viscera,rings=11,)=>whucked | whole_supp: 974 | whole_vio: 28 | whole_conf: 0.971253 | Asupp: 2
(height,viscera,rings=11,)=>length | whole_supp: 974 | whole_vio: 28 | whole_conf: 0.971253 | Asupp: 2
(height,viscera,rings=11,)=>diameter | whole_supp: 974 | whole_vio: 28 | whole_conf: 0.971253 | Asupp: 2
(diameter,viscera,rings=9,)=>height | whole_supp: 1378 | whole_vio: 40 | whole_conf: 0.970972 | Asupp: 3
(diameter,viscera,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 42 | whole_conf: 0.966877 | Asupp: 2
(diameter,viscera,rings=9,)=>shell | whole_supp: 1378 | whole_vio: 46 | whole_conf: 0.966618 | Asupp: 3
(height,viscera,rings=9,)=>sex | whole_supp: 1378 | whole_vio: 52 | whole_conf: 0.962264 | Asupp: 3
(height,viscera,rings=10,)=>diameter | whole_supp: 1268 | whole_vio: 50 | whole_conf: 0.960568 | Asupp: 2
(height,viscera,rings=10,)=>length | whole_supp: 1268 | whole_vio: 56 | whole_conf: 0.955836 | Asupp: 2
(height,viscera,rings=10,)=>whucked | whole_supp: 1268 | whole_vio: 56 | whole_conf: 0.955836 | Asupp: 2
(height,viscera,rings=9,)=>diameter | whole_supp: 1378 | whole_vio: 72 | whole_conf: 0.947750 | Asupp: 3
(height,viscera,rings=9,)=>length | whole_supp: 1378 | whole_vio: 72 | whole_conf: 0.947750 | Asupp: 3
(length,shell,rings=10,)=>height | whole_supp: 1268 | whole_vio: 68 | whole_conf: 0.946372 | Asupp: 2
(height,viscera,rings=9,)=>whole | whole_supp: 1378 | whole_vio: 78 | whole_conf: 0.943396 | Asupp: 3
(diameter,shell,rings=11,)=>height | whole_supp: 974 | whole_vio: 56 | whole_conf: 0.942505 | Asupp: 2
(diameter,shell,rings=11,)=>viscera | whole_supp: 974 | whole_vio: 58 | whole_conf: 0.940452 | Asupp: 2
(height,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 158 | whole_conf: 0.939556 | Asupp: 3
(length,shell,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 80 | whole_conf: 0.936909 | Asupp: 2
(height,shell,rings=10,)=>sex | whole_supp: 1268 | whole_vio: 82 | whole_conf: 0.935331 | Asupp: 2
(height,shell,rings=9,)=>sex | whole_supp: 1378 | whole_vio: 102 | whole_conf: 0.925980 | Asupp: 3
(height,shell,rings=11,)=>diameter | whole_supp: 974 | whole_vio: 78 | whole_conf: 0.919918 | Asupp: 2
(height,shell,rings=11,)=>length | whole_supp: 974 | whole_vio: 78 | whole_conf: 0.919918 | Asupp: 2
(height,shell,rings=11,)=>whole | whole_supp: 974 | whole_vio: 80 | whole_conf: 0.917865 | Asupp: 2
(length,shell,rings=9,)=>viscera | whole_supp: 1378 | whole_vio: 116 | whole_conf: 0.915820 | Asupp: 3
(diameter,shell,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 114 | whole_conf: 0.910095 | Asupp: 2
(height,viscera,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 284 | whole_conf: 0.907068 | Asupp: 3
(whucked,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 3
(whole,viscera,rings=10,)=>whucked | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(whole,viscera,rings=10,)=>length | whole_supp: 1268 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 2
(length,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(height,whole,viscera,)=>whucked | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(height,whole,viscera,)=>length | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(whole,viscera,sex=M,)=>height | whole_supp: 3056 | whole_vio: 2 | whole_conf: 0.999346 | Asupp: 3
(diameter,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 11
(height,whole,whucked,)=>viscera | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 11
(whucked,viscera,rings,)=>whole | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10
(height,whole,whucked,)=>shell | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10
(whole,whucked,rings,)=>viscera | whole_supp: 8354 | whole_vio: 10 | whole_conf: 0.998803 | Asupp: 10
(length,whole,shell,)=>rings | whole_supp: 8354 | whole_vio: 12 | whole_conf: 0.998564 | Asupp: 10
(diameter,whole,shell,)=>rings | whole_supp: 8354 | whole_vio: 12 | whole_conf: 0.998564 | Asupp: 10
(whucked,viscera,sex=F,)=>height | whole_supp: 2614 | whole_vio: 4 | whole_conf: 0.998470 | Asupp: 3
(whucked,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 4 | whole_conf: 0.998470 | Asupp: 3
(length,whucked,shell,)=>rings | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(diameter,whole,shell,)=>height | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(height,whucked,viscera,)=>whole | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(length,viscera,shell,)=>sex | whole_supp: 8354 | whole_vio: 14 | whole_conf: 0.998324 | Asupp: 10
(length,whucked,shell,)=>height | whole_supp: 8354 | whole_vio: 16 | whole_conf: 0.998085 | Asupp: 10
(length,whucked,shell,)=>viscera | whole_supp: 8354 | whole_vio: 18 | whole_conf: 0.997845 | Asupp: 10
(diameter,viscera,shell,)=>sex | whole_supp: 8354 | whole_vio: 18 | whole_conf: 0.997845 | Asupp: 10
(length,viscera,shell,)=>diameter | whole_supp: 8354 | whole_vio: 20 | whole_conf: 0.997606 | Asupp: 10
(whucked,shell,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 8 | whole_conf: 0.997382 | Asupp: 3
(height,whucked,shell,)=>diameter | whole_supp: 8354 | whole_vio: 22 | whole_conf: 0.997367 | Asupp: 10
(height,whucked,shell,)=>length | whole_supp: 8354 | whole_vio: 24 | whole_conf: 0.997127 | Asupp: 10
(whucked,shell,rings=9,)=>whole | whole_supp: 1378 | whole_vio: 4 | whole_conf: 0.997097 | Asupp: 3
(whole,shell,rings=9,)=>diameter | whole_supp: 1378 | whole_vio: 4 | whole_conf: 0.997097 | Asupp: 3
(whole,shell,rings=9,)=>whucked | whole_supp: 1378 | whole_vio: 4 | whole_conf: 0.997097 | Asupp: 3
(whucked,shell,sex=M,)=>height | whole_supp: 3056 | whole_vio: 10 | whole_conf: 0.996728 | Asupp: 3
(whucked,shell,sex=M,)=>viscera | whole_supp: 3056 | whole_vio: 10 | whole_conf: 0.996728 | Asupp: 3
(height,whucked,shell,)=>whole | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
(diameter,whucked,shell,)=>rings | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
(height,whole,shell,)=>diameter | whole_supp: 8354 | whole_vio: 28 | whole_conf: 0.996648 | Asupp: 10
(whucked,shell,sex=F,)=>height | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 3
(whucked,shell,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 3
(whucked,shell,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 10 | whole_conf: 0.996174 | Asupp: 3
(diameter,viscera,shell,)=>whucked | whole_supp: 8354 | whole_vio: 38 | whole_conf: 0.995451 | Asupp: 10
(whole,shell,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 14 | whole_conf: 0.995419 | Asupp: 3
(whole,shell,sex=M,)=>height | whole_supp: 3056 | whole_vio: 14 | whole_conf: 0.995419 | Asupp: 3
(diameter,whucked,shell,)=>height | whole_supp: 8354 | whole_vio: 40 | whole_conf: 0.995212 | Asupp: 10
(whucked,shell,rings,)=>diameter | whole_supp: 8354 | whole_vio: 42 | whole_conf: 0.994972 | Asupp: 11
(diameter,whucked,shell,)=>viscera | whole_supp: 8354 | whole_vio: 42 | whole_conf: 0.994972 | Asupp: 10
(whole,shell,sex=M,)=>viscera | whole_supp: 3056 | whole_vio: 16 | whole_conf: 0.994764 | Asupp: 3
(height,whole,rings,)=>sex | whole_supp: 8354 | whole_vio: 48 | whole_conf: 0.994254 | Asupp: 10
(length,whole,rings=10,)=>height | whole_supp: 1268 | whole_vio: 8 | whole_conf: 0.993691 | Asupp: 2
(diameter,whole,rings=10,)=>height | whole_supp: 1268 | whole_vio: 8 | whole_conf: 0.993691 | Asupp: 2
(length,whole,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 8 | whole_conf: 0.993691 | Asupp: 2
(length,whole,rings,)=>shell | whole_supp: 8354 | whole_vio: 54 | whole_conf: 0.993536 | Asupp: 10
(height,whole,rings=10,)=>sex | whole_supp: 1268 | whole_vio: 10 | whole_conf: 0.992114 | Asupp: 2
(diameter,whole,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 10 | whole_conf: 0.992114 | Asupp: 2
(whole,shell,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 22 | whole_conf: 0.991803 | Asupp: 4
(diameter,height,whucked,)=>rings | whole_supp: 8354 | whole_vio: 70 | whole_conf: 0.991621 | Asupp: 10
(viscera,shell,sex=F,)=>length | whole_supp: 2614 | whole_vio: 24 | whole_conf: 0.990819 | Asupp: 3
(height,whucked,rings=10,)=>sex | whole_supp: 1268 | whole_vio: 12 | whole_conf: 0.990536 | Asupp: 2
(length,height,whucked,)=>shell | whole_supp: 8354 | whole_vio: 82 | whole_conf: 0.990184 | Asupp: 10
(viscera,shell,sex=F,)=>whole | whole_supp: 2614 | whole_vio: 26 | whole_conf: 0.990054 | Asupp: 3
(viscera,shell,sex=F,)=>whucked | whole_supp: 2614 | whole_vio: 26 | whole_conf: 0.990054 | Asupp: 3
(length,height,whucked,)=>viscera | whole_supp: 8354 | whole_vio: 84 | whole_conf: 0.989945 | Asupp: 10
(diameter,whole,rings=9,)=>height | whole_supp: 1378 | whole_vio: 14 | whole_conf: 0.989840 | Asupp: 4
