Thu Feb  4 05:19:43 2021
rule_repository_top_k.size(): 30
(whole,shell,rings=8,)=>viscera | whole_supp: 1136 | whole_vio: 8 | whole_conf: 0.992958 | Asupp: 2
(whole,shell,rings=8,)=>height | whole_supp: 1136 | whole_vio: 8 | whole_conf: 0.992958 | Asupp: 2
(whucked,shell,rings,)=>whole | whole_supp: 8354 | whole_vio: 60 | whole_conf: 0.992818 | Asupp: 10
(whole,viscera,sex=I,)=>height | whole_supp: 2684 | whole_vio: 22 | whole_conf: 0.991803 | Asupp: 6
(whole,viscera,sex=I,)=>whucked | whole_supp: 2684 | whole_vio: 22 | whole_conf: 0.991803 | Asupp: 6
(whole,viscera,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 24 | whole_conf: 0.991058 | Asupp: 6
(whole,viscera,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 24 | whole_conf: 0.991058 | Asupp: 5
(viscera,shell,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 24 | whole_conf: 0.990819 | Asupp: 3
(sex,whucked,shell,)=>height | whole_supp: 8354 | whole_vio: 80 | whole_conf: 0.990424 | Asupp: 9
(sex,whucked,shell,)=>viscera | whole_supp: 8354 | whole_vio: 82 | whole_conf: 0.990184 | Asupp: 9
(viscera,shell,sex=F,)=>height | whole_supp: 2614 | whole_vio: 26 | whole_conf: 0.990054 | Asupp: 3
(viscera,shell,sex=F,)=>whucked | whole_supp: 2614 | whole_vio: 26 | whole_conf: 0.990054 | Asupp: 3
(viscera,shell,rings=8,)=>whucked | whole_supp: 1136 | whole_vio: 12 | whole_conf: 0.989437 | Asupp: 2
(viscera,shell,rings=8,)=>height | whole_supp: 1136 | whole_vio: 12 | whole_conf: 0.989437 | Asupp: 2
(height,whucked,rings,)=>sex | whole_supp: 8354 | whole_vio: 98 | whole_conf: 0.988269 | Asupp: 9
(height,whole,rings=8,)=>sex | whole_supp: 1136 | whole_vio: 14 | whole_conf: 0.987676 | Asupp: 2
(height,whole,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 42 | whole_conf: 0.983933 | Asupp: 3
(height,whole,sex=F,)=>whucked | whole_supp: 2614 | whole_vio: 42 | whole_conf: 0.983933 | Asupp: 3
(height,whole,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 44 | whole_conf: 0.983168 | Asupp: 4
(height,whole,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 44 | whole_conf: 0.983168 | Asupp: 3
(height,whucked,rings,)=>shell | whole_supp: 8354 | whole_vio: 190 | whole_conf: 0.977256 | Asupp: 9
(whucked,shell,sex=I,)=>viscera | whole_supp: 2684 | whole_vio: 62 | whole_conf: 0.976900 | Asupp: 7
(height,whucked,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 72 | whole_conf: 0.972456 | Asupp: 3
(whole,rings,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 76 | whole_conf: 0.970926 | Asupp: 3
(height,whucked,rings=8,)=>sex | whole_supp: 1136 | whole_vio: 34 | whole_conf: 0.970070 | Asupp: 2
(height,whucked,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 84 | whole_conf: 0.967865 | Asupp: 3
(height,whucked,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 84 | whole_conf: 0.967865 | Asupp: 3
(viscera,shell,sex=I,)=>whucked | whole_supp: 2684 | whole_vio: 96 | whole_conf: 0.964233 | Asupp: 7
(height,whole,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 110 | whole_conf: 0.959016 | Asupp: 6
(height,whucked,rings=8,)=>shell | whole_supp: 1136 | whole_vio: 50 | whole_conf: 0.955986 | Asupp: 2
(sex,whole,rings=8,)=>height | whole_supp: 1136 | whole_vio: 54 | whole_conf: 0.952465 | Asupp: 2
(height,shell,rings,)=>sex | whole_supp: 8354 | whole_vio: 430 | whole_conf: 0.948528 | Asupp: 9
(sex,whole,rings=8,)=>viscera | whole_supp: 1136 | whole_vio: 64 | whole_conf: 0.943662 | Asupp: 2
(height,whucked,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 156 | whole_conf: 0.941878 | Asupp: 6
(height,viscera,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 158 | whole_conf: 0.939556 | Asupp: 3
(whucked,rings,sex=F,)=>height | whole_supp: 2614 | whole_vio: 160 | whole_conf: 0.938791 | Asupp: 3
(height,viscera,sex=F,)=>whole | whole_supp: 2614 | whole_vio: 200 | whole_conf: 0.923489 | Asupp: 3
(height,viscera,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 200 | whole_conf: 0.923489 | Asupp: 3
(height,whucked,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 218 | whole_conf: 0.918778 | Asupp: 6
(sex,whucked,rings=8,)=>height | whole_supp: 1136 | whole_vio: 112 | whole_conf: 0.901408 | Asupp: 2
(whole,whucked,shell,)=>length | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(length,whole,whucked,)=>rings | whole_supp: 8354 | whole_vio: 0 | whole_conf: 1.000000 | Asupp: 10
(diameter,whole,whucked,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 11
(length,whole,whucked,)=>height | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(length,whole,whucked,)=>shell | whole_supp: 8354 | whole_vio: 2 | whole_conf: 0.999761 | Asupp: 10
(diameter,whole,viscera,)=>height | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 11
(whole,viscera,rings,)=>length | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(length,whucked,viscera,)=>shell | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 10
(length,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 4 | whole_conf: 0.999521 | Asupp: 9
(length,whole,shell,)=>sex | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(length,whucked,viscera,)=>whole | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(length,whucked,viscera,)=>rings | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(diameter,whucked,viscera,)=>height | whole_supp: 8354 | whole_vio: 6 | whole_conf: 0.999282 | Asupp: 10
(length,whole,viscera,)=>rings | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10
(whucked,viscera,rings,)=>length | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10
(length,whole,viscera,)=>shell | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10
(length,whole,viscera,)=>height | whole_supp: 8354 | whole_vio: 8 | whole_conf: 0.999042 | Asupp: 10
