Thu Feb  4 04:42:13 2021
rule_repository_top_k.size(): 30
(whole,shell,rings=10,)=>viscera | whole_supp: 1268 | whole_vio: 6 | whole_conf: 0.995268 | Asupp: 4
(whucked,viscera,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 14 | whole_conf: 0.994784 | Asupp: 6
(whole,shell,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 16 | whole_conf: 0.994764 | Asupp: 3
(whucked,shell,rings,)=>height | whole_supp: 8354 | whole_vio: 46 | whole_conf: 0.994494 | Asupp: 10
(whucked,shell,rings,)=>whole | whole_supp: 8354 | whole_vio: 60 | whole_conf: 0.992818 | Asupp: 10
(whucked,viscera,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 20 | whole_conf: 0.992548 | Asupp: 6
(whole,viscera,sex=I,)=>height | whole_supp: 2684 | whole_vio: 22 | whole_conf: 0.991803 | Asupp: 7
(whole,viscera,sex=I,)=>rings | whole_supp: 2684 | whole_vio: 24 | whole_conf: 0.991058 | Asupp: 6
(whole,viscera,sex=I,)=>shell | whole_supp: 2684 | whole_vio: 24 | whole_conf: 0.991058 | Asupp: 6
(height,whole,rings,)=>shell | whole_supp: 8354 | whole_vio: 96 | whole_conf: 0.988509 | Asupp: 10
(height,whole,rings,)=>whucked | whole_supp: 8354 | whole_vio: 100 | whole_conf: 0.988030 | Asupp: 10
(height,whole,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 16 | whole_conf: 0.987382 | Asupp: 2
(viscera,shell,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 40 | whole_conf: 0.986911 | Asupp: 2
(height,whole,sex=M,)=>rings | whole_supp: 3056 | whole_vio: 48 | whole_conf: 0.984293 | Asupp: 2
(viscera,shell,sex=M,)=>height | whole_supp: 3056 | whole_vio: 48 | whole_conf: 0.984293 | Asupp: 2
(height,whole,sex=F,)=>rings | whole_supp: 2614 | whole_vio: 42 | whole_conf: 0.983933 | Asupp: 3
(height,whole,sex=F,)=>viscera | whole_supp: 2614 | whole_vio: 44 | whole_conf: 0.983168 | Asupp: 3
(height,whole,sex=F,)=>shell | whole_supp: 2614 | whole_vio: 44 | whole_conf: 0.983168 | Asupp: 3
(height,whucked,rings=10,)=>whole | whole_supp: 1268 | whole_vio: 22 | whole_conf: 0.982650 | Asupp: 2
(height,whucked,rings=10,)=>shell | whole_supp: 1268 | whole_vio: 24 | whole_conf: 0.981073 | Asupp: 2
(height,whole,sex=M,)=>whucked | whole_supp: 3056 | whole_vio: 64 | whole_conf: 0.979058 | Asupp: 2
(height,whole,sex=M,)=>shell | whole_supp: 3056 | whole_vio: 64 | whole_conf: 0.979058 | Asupp: 2
