Thu Feb  4 05:42:25 2021
rule_repository_top_k.size(): 30
(d,e,)=>c | whole_supp: 18409 | whole_vio: 8466 | whole_conf: 0.540116 | Asupp: 10
(c,f,)=>d | whole_supp: 124524 | whole_vio: 7472 | whole_conf: 0.939996 | Asupp: 10
(c,f,)=>b | whole_supp: 124524 | whole_vio: 7023 | whole_conf: 0.943601 | Asupp: 10
(c,f,)=>e | whole_supp: 124524 | whole_vio: 6975 | whole_conf: 0.943987 | Asupp: 10
(b,c,)=>a | whole_supp: 124524 | whole_vio: 18319 | whole_conf: 0.852888 | Asupp: 10
(b,f,)=>a | whole_supp: 124524 | whole_vio: 18227 | whole_conf: 0.853627 | Asupp: 10
(b,c,)=>g | whole_supp: 124524 | whole_vio: 18054 | whole_conf: 0.855016 | Asupp: 10
(b,f,)=>g | whole_supp: 124524 | whole_vio: 17931 | whole_conf: 0.856004 | Asupp: 10
(b,d,)=>a | whole_supp: 124524 | whole_vio: 17628 | whole_conf: 0.858437 | Asupp: 10
(b,e,)=>a | whole_supp: 124524 | whole_vio: 17594 | whole_conf: 0.858710 | Asupp: 10
(b,d,)=>g | whole_supp: 124524 | whole_vio: 17384 | whole_conf: 0.860396 | Asupp: 10
(b,e,)=>g | whole_supp: 124524 | whole_vio: 17344 | whole_conf: 0.860718 | Asupp: 10
(c,d,)=>a | whole_supp: 25781 | whole_vio: 12933 | whole_conf: 0.498352 | Asupp: 10
(c,d,)=>g | whole_supp: 25781 | whole_vio: 12742 | whole_conf: 0.505760 | Asupp: 10
(d,f,)=>a | whole_supp: 124524 | whole_vio: 12668 | whole_conf: 0.898269 | Asupp: 10
(d,f,)=>g | whole_supp: 124524 | whole_vio: 12499 | whole_conf: 0.899626 | Asupp: 10
(c,e,)=>a | whole_supp: 25521 | whole_vio: 12182 | whole_conf: 0.522668 | Asupp: 10
(c,e,)=>g | whole_supp: 25521 | whole_vio: 11999 | whole_conf: 0.529838 | Asupp: 10
(e,f,)=>a | whole_supp: 124524 | whole_vio: 11686 | whole_conf: 0.906155 | Asupp: 10
(e,f,)=>g | whole_supp: 124524 | whole_vio: 11532 | whole_conf: 0.907391 | Asupp: 10
(d,e,)=>a | whole_supp: 18409 | whole_vio: 8957 | whole_conf: 0.513445 | Asupp: 10
(d,e,)=>g | whole_supp: 18409 | whole_vio: 8720 | whole_conf: 0.526319 | Asupp: 10
(c,f,)=>a | whole_supp: 124524 | whole_vio: 7275 | whole_conf: 0.941578 | Asupp: 10
(c,f,)=>g | whole_supp: 124524 | whole_vio: 7032 | whole_conf: 0.943529 | Asupp: 10
(a,f,)=>d | whole_supp: 124524 | whole_vio: 4713 | whole_conf: 0.962152 | Asupp: 10
